name,ring,quadrant,isNew,description
CouchDB,Assess,Tools,,"CouchDB is a server host of named databases, which store documents. Provides a RESTful HTTP API for reading and updating (add, edit, delete) documents, the primary unit of data. Single-node DB works just like any other DB behind an application server of choice and can be upgraded to a cluster. <br/><br/><strong>Vendor: </strong><em>Apache Software Foundation</em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em>Couch Replication Protocol lets data flow between server clusters and mobile phones and web browsers, enabling a offline-first UX; comes with a query language, and optionally MapReduce for data retrieval</em>"
Vue,Trial,languages-and-frameworks,,"Vue is like the best of React and Angular. It has a nice concept of a .vue file which can HTML, Javascript and CSS in a single file that is properly scoped. It uses the shadow DOM similar to React and template syntax similar to Angular. It is also arguably more community driven than Angular and React. <br/><br/><strong>Vendor: </strong><em>Vuejs</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q1 - 2022</em><br/><strong>Customer demand: </strong><em>Limited</em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em>Javascript framework alternative offering to Angular and React </em>"
"Svelte, TailwindCSS",Assess,languages-and-frameworks,,This is more about these types of libraries: https://changelog.com/jsparty/199<br/><br/><strong>Vendor: </strong><em></em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em>Javascript framework alternative offering to Angular and React </em>
Functional Java,Assess,Techniques,True,"java.util.Function, this leads to rather different looking Java code (more static functions) and might actually lead to a kotlin/scala adoption.<br/><br/><strong>Vendor: </strong><em></em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em></em>"
OpenTelemetry,Assess,Tools,True,A more unified way to do logging/tracing etc that is based on standards. This would need some investigation but it can help with tracing between different languages and even cloud deployments but still allow taking advantage of the native features.<br/><br/><strong>Vendor: </strong><em></em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em>https://docs.microsoft.com/en-us/azure/azure-monitor/app/opentelemetry-overview    https://aws.amazon.com/blogs/opensource/distributed-tracing-with-opentelemetry/   https://cloud.google.com/trace/docs/setup</em>
Go (aka GoLang),Hold,languages-and-frameworks,,Embedded systems / IoT languages (C/C++ and Rust competitor - most container orchestration space source eg k8s writtend in Go)<br/><br/><strong>Vendor: </strong><em>Google</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q2 - 2022</em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em>No</em><br/><strong>Value: </strong><em></em>
Typescript,Hold,languages-and-frameworks,,Typescript and Python show an appetite for more expressive type systems beyond just specifying memory sizes. An example of this are literal types in Typescript. They can be achieved in Java using enums but they look cleaner in Typescript.<br/><br/><strong>Vendor: </strong><em>Microsoft</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q1 - 2022</em><br/><strong>Customer demand: </strong><em>Limited</em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em></em>
Python,Assess,languages-and-frameworks,,"Probably the best ""glue"" language. Python can cover a wide range of areas from build scripts (such as when working with CDKs and the like for AWS and Azure) or Web development or (currently it's biggest strength, ML and AI) Python can do a good enough job that it can be a while before it's perfomance limit can be reached. It has an advantage over JS in that it still has ""winners"" where one methodology is clearly prerffered over another. This is contrasted with JS where you have many frameworks and libraries and deciding which one to use depends on nuance.<br/><br/><strong>Vendor: </strong><em></em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em></em>"
Micro Front Ends,Assess,Techniques,True,<br/><br/><strong>Vendor: </strong><em></em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em></em>
Containers,Assess,Platforms,,"a container is a group of processes with kernel features which allow the processes to behave as though they’re running on their own separate OS instance (typically a virtual machine)

the host OS instance (usually a VM) runs the container as a process, emulated internally inside the container as a separate OS instance (typically a virtual machine)

*nix kernel features which make this possible are:

    namespaces = Namespaces are the feature that make the container look and feel like it is an entirely separate machine
    cgroups = A way to group or contain processes together in the kernel and limit and define resources for that grouping (developed at Google in 2006 and first called “process containers”)
    capabilities = A list of the superuser privileges that can be enabled or disabled for any process<br/><br/><strong>Vendor: </strong><em></em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em></em>"
Container Orchestration,Hold,Platforms,,"Kubernetes is an open-source platform for managing containerized workloads and services, that facilitates both declarative configuration and automation
A Kubernetes cluster consists of the components that represent the control plane and a set of machines called nodes<br/><br/><strong>Vendor: </strong><em>Google</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q3 - 2021</em><br/><strong>Customer demand: </strong><em>High</em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em></em>"
DevSecOps,Assess,Techniques,True,"DevSecOps is a word I've heard about where Developer, Security and Operations work together to make make sure security is built into services, application etc https://www.devsecops.org/ <br/><br/><strong>Vendor: </strong><em></em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em></em>"
Pipelines,Assess,Techniques,,Automating the path to production. Making it as short as possible while being secure. Pipelines can include culture nudges such as testing and linting and code complexity checks (SonarQube is one I've seen in 2 places used for these). The big cloud providers have their own pipelines but gitlab I think might be popular since it can be self hosted and thus cheaper. github pipelines are also getting a lot of buzz in various podcasts. There is also independent ones such as CircleCI and TravisCI.<br/><br/><strong>Vendor: </strong><em></em><br/><strong>Assessed by: </strong><em></em><br/><strong>Last assessment date: </strong><em></em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em></em><br/><strong>Value: </strong><em></em>
AWS ,Hold,Platforms,,<br/><br/><strong>Vendor: </strong><em>Amazon</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q3 - 2021</em><br/><strong>Customer demand: </strong><em>High</em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em></em>
gRPC,Hold,languages-and-frameworks,,"open-sourced API-to-API Remote Procedure Calling framework <br/><br/><strong>Vendor: </strong><em>Google</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q2 - 2022</em><br/><strong>Customer demand: </strong><em></em><br/><strong>Should we adopt?: </strong><em>No</em><br/><strong>Value: </strong><em>primaryily suited for direct, synchronous communication between microservices</em>"
Azure,Hold,Platforms,,<br/><br/><strong>Vendor: </strong><em>Microsoft</em><br/><strong>Assessed by: </strong><em>Saša Slankamenac</em><br/><strong>Last assessment date: </strong><em>Q3 - 2021</em><br/><strong>Customer demand: </strong><em>High</em><br/><strong>Should we adopt?: </strong><em>Yes</em><br/><strong>Value: </strong><em></em>
